ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
6665545,HP723145,12/08/2008 04:40:00 PM,031XX N PULASKI RD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2523,025,31,21,14,1149181,1920480,2008,02/04/2016 06:33:39 AM,41.937725094,-87.72714355,"(41.937725094, -87.72714355)"
6665547,HP724944,12/09/2008 04:56:00 PM,036XX N CENTRAL AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,CTA BUS,false,false,1633,016,38,15,03,1138381,1923460,2008,02/04/2016 06:33:39 AM,41.946105217,-87.766763698,"(41.946105217, -87.766763698)"
6665548,HP738637,12/11/2008 12:01:00 AM,033XX W OHIO ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,RESIDENCE,false,false,1121,011,27,23,11,1153791,1903795,2008,02/04/2016 06:33:39 AM,41.891849306,-87.710646053,"(41.891849306, -87.710646053)"
6665551,HP738659,12/17/2008 02:56:00 PM,032XX W WRIGHTWOOD AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,false,false,1412,014,35,22,03,1154260,1917102,2008,02/04/2016 06:33:39 AM,41.928355533,-87.708567645,"(41.928355533, -87.708567645)"
6665552,HP738731,10/06/2008 12:01:00 AM,007XX N DEARBORN ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,COMMERCIAL / BUSINESS OFFICE,true,false,1832,018,42,8,11,1175800,1905508,2008,02/04/2016 06:33:39 AM,41.896083132,-87.629765732,"(41.896083132, -87.629765732)"
6665553,HP738764,12/17/2008 04:10:00 PM,051XX W CHICAGO AVE,0820,THEFT,$500 AND UNDER,RESTAURANT,false,false,1531,015,28,25,06,1141736,1904839,2008,02/04/2016 06:33:39 AM,41.894945698,-87.754893341,"(41.894945698, -87.754893341)"
6665554,HP738770,12/16/2008 06:45:00 AM,059XX W LAKE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1512,015,29,25,14,1136776,1902264,2008,02/04/2016 06:33:39 AM,41.887969883,-87.773172116,"(41.887969883, -87.773172116)"
6665556,HP738810,12/17/2008 07:30:00 AM,046XX S EMERALD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0935,009,11,61,06,1172077,1874200,2008,02/04/2016 06:33:39 AM,41.810254449,-87.644362047,"(41.810254449, -87.644362047)"
6665557,HP738804,12/16/2008 10:30:00 PM,064XX S STEWART AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0722,007,20,68,07,1174731,1862273,2008,02/04/2016 06:33:39 AM,41.777466736,-87.634982932,"(41.777466736, -87.634982932)"
6665559,HP738795,12/14/2008 12:30:00 AM,025XX W 63RD ST,0820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),false,false,0825,008,15,66,06,1160588,1862799,2008,02/04/2016 06:33:39 AM,41.779213626,-87.686816857,"(41.779213626, -87.686816857)"
6665560,HP738704,12/10/2008 04:00:00 PM,077XX S WOLCOTT AVE,0890,THEFT,FROM BUILDING,RESIDENCE,false,false,0611,006,18,71,06,1165033,1853322,2008,02/04/2016 06:33:39 AM,41.753114582,-87.6707886,"(41.753114582, -87.6707886)"
6665561,HP738713,12/10/2008 08:00:00 AM,079XX S WINCHESTER AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,false,false,0611,006,18,71,26,1164738,1852014,2008,02/04/2016 06:33:39 AM,41.74953147,-87.671906514,"(41.74953147, -87.671906514)"
6665562,HP737107,12/16/2008 01:20:00 PM,002XX W RANDOLPH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0113,001,42,32,14,1174609,1901265,2008,02/04/2016 06:33:39 AM,41.884466819,-87.634266948,"(41.884466819, -87.634266948)"
6665563,HP738813,12/14/2008 04:00:00 PM,062XX N WASHTENAW AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,2413,024,50,2,14,1157202,1941239,2008,02/04/2016 06:33:39 AM,41.994529515,-87.697098232,"(41.994529515, -87.697098232)"
6665564,HP738793,06/23/2008 04:00:00 PM,017XX N SEDGWICK ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1814,018,43,7,06,1173315,1912159,2008,02/04/2016 06:33:39 AM,41.914389376,-87.638694733,"(41.914389376, -87.638694733)"
6665565,HP738722,12/17/2008 03:45:00 PM,025XX N NEWCASTLE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2512,025,36,18,07,1130323,1916214,2008,02/04/2016 06:33:39 AM,41.926363677,-87.796549549,"(41.926363677, -87.796549549)"
6665566,HP737138,12/13/2008 12:01:00 AM,117XX S LAFAYETTE AVE,0610,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,false,false,0522,005,34,53,05,1178022,1827088,2008,02/04/2016 06:33:39 AM,41.680840651,-87.623981186,"(41.680840651, -87.623981186)"
6665568,HP738710,12/17/2008 03:00:00 PM,079XX S ANTHONY AVE,0810,THEFT,OVER $500,STREET,false,false,0411,004,8,45,06,1187737,1852644,2008,02/04/2016 06:33:39 AM,41.750744182,-87.587609523,"(41.750744182, -87.587609523)"
6665569,HP737200,12/12/2008 04:00:00 PM,033XX N MARSHFIELD AVE,0890,THEFT,FROM BUILDING,ATHLETIC CLUB,false,false,1924,019,44,6,06,1164729,1922247,2008,02/04/2016 06:33:39 AM,41.942257928,-87.669951491,"(41.942257928, -87.669951491)"
6665570,HP738698,12/17/2008 04:00:00 PM,080XX S COTTAGE GROVE AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,GOVERNMENT BUILDING/PROPERTY,true,false,0631,006,8,44,26,1182949,1851967,2008,02/04/2016 06:33:39 AM,41.74899896,-87.605175838,"(41.74899896, -87.605175838)"
6665571,HP738901,12/17/2008 04:30:00 PM,025XX N NARRAGANSETT AVE,0890,THEFT,FROM BUILDING,DEPARTMENT STORE,false,false,2512,025,36,19,06,1133315,1916277,2008,02/04/2016 06:33:39 AM,41.926484632,-87.785553657,"(41.926484632, -87.785553657)"
6665572,HP738730,12/10/2008 08:00:00 AM,072XX S YATES BLVD,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,false,false,0334,003,7,43,05,1193461,1857464,2008,02/04/2016 06:33:39 AM,41.763832588,-87.566476981,"(41.763832588, -87.566476981)"
6665574,HP738858,11/20/2008 12:01:00 AM,013XX W WASHINGTON BLVD,0840,THEFT,FINANCIAL ID THEFT: OVER $300,CREDIT UNION,false,false,1212,012,27,28,06,1167216,1900639,2008,02/04/2016 06:33:39 AM,41.882911079,-87.66143285,"(41.882911079, -87.66143285)"
6665575,HP735418,12/15/2008 02:15:00 PM,066XX S WOODLAWN AVE,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,APARTMENT,false,false,0321,003,5,42,05,1185356,1861270,2008,02/04/2016 06:33:39 AM,41.77447104,-87.596063608,"(41.77447104, -87.596063608)"
6665576,HP738839,12/17/2008 02:15:00 PM,011XX N PULASKI RD,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,PARK PROPERTY,true,false,1112,011,27,23,26,1149511,1907325,2008,02/04/2016 06:33:39 AM,41.901620148,-87.726272971,"(41.901620148, -87.726272971)"
6665577,HP738826,04/17/2008 12:00:00 PM,025XX S ALBANY AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,false,false,1033,010,12,30,06,1156106,1886824,2008,02/04/2016 06:33:39 AM,41.84523269,-87.702602005,"(41.84523269, -87.702602005)"
6665578,HP737345,12/16/2008 07:40:00 AM,071XX S EAST END AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0324,003,8,43,05,1188770,1857964,2008,02/04/2016 06:33:39 AM,41.765318105,-87.583654287,"(41.765318105, -87.583654287)"
6665579,HP738954,12/17/2008 02:10:00 PM,014XX N MONTICELLO AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,2535,025,26,23,08B,1151768,1909390,2008,02/04/2016 06:33:39 AM,41.90724258,-87.717928279,"(41.90724258, -87.717928279)"
6665580,HP738900,12/14/2008 12:00:00 PM,078XX S INGLESIDE AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,false,false,0624,006,8,69,11,1183923,1853173,2008,02/04/2016 06:33:39 AM,41.752285675,-87.601569186,"(41.752285675, -87.601569186)"
6665591,HP738902,12/17/2008 04:51:00 PM,037XX W WINDSOR AVE,1822,NARCOTICS,MANU/DEL:CANNABIS OVER 10 GMS,APARTMENT,true,false,1723,017,39,14,18,1150514,1929974,2008,02/04/2016 06:33:39 AM,41.963751377,-87.721995604,"(41.963751377, -87.721995604)"
6665592,HP738311,12/17/2008 10:20:00 AM,027XX S MICHIGAN AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2113,001,2,35,06,1177637,1886529,2008,02/04/2016 06:33:39 AM,41.843962091,-87.623595224,"(41.843962091, -87.623595224)"
6665593,HP738487,12/17/2008 09:00:00 AM,002XX S WABASH AVE,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,false,false,0123,001,42,32,06,1176846,1899322,2008,02/04/2016 06:33:39 AM,41.87908482,-87.626111281,"(41.87908482, -87.626111281)"
6665594,HP738352,12/11/2008 03:15:00 PM,030XX S DR MARTIN LUTHER KING JR DR,0560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",false,false,2112,001,2,35,08A,1179306,1885032,2008,02/04/2016 06:33:39 AM,41.839816207,-87.617516172,"(41.839816207, -87.617516172)"
6665595,HP739010,12/17/2008 06:00:00 PM,018XX N HALSTED ST,1170,DECEPTIVE PRACTICE,IMPERSONATION,RESTAURANT,false,false,1813,018,43,7,11,1170682,1912132,2008,02/04/2016 06:33:39 AM,41.914373397,-87.648368687,"(41.914373397, -87.648368687)"
6665596,HP738682,12/17/2008 08:15:00 AM,123XX S NORMAL AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,0523,005,34,53,14,1175201,1823045,2008,02/04/2016 06:33:39 AM,41.669809286,-87.634427475,"(41.669809286, -87.634427475)"
6665597,HP738960,12/14/2008 02:00:00 AM,030XX N KIMBALL AVE,0890,THEFT,FROM BUILDING,APARTMENT,false,false,1412,014,35,21,06,1153191,1920212,2008,02/04/2016 06:33:39 AM,41.936910926,-87.712413098,"(41.936910926, -87.712413098)"
6665598,HP739046,12/13/2008 06:00:00 PM,047XX N BEACON ST,0810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),false,false,2311,019,46,3,06,1166215,1931549,2008,02/04/2016 06:33:39 AM,41.967751324,-87.66422286,"(41.967751324, -87.66422286)"
6665599,HP738478,12/17/2008 12:00:00 PM,043XX S DREXEL BLVD,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",false,false,2123,002,4,39,08B,1183054,1876357,2008,02/04/2016 06:33:39 AM,41.815924879,-87.60403305,"(41.815924879, -87.60403305)"
6665600,HP738907,12/17/2008 07:15:00 AM,017XX N SHEFFIELD AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1811,018,32,7,14,1169382,1911420,2008,02/04/2016 06:33:39 AM,41.91244802,-87.653165399,"(41.91244802, -87.653165399)"
6665601,HP738856,12/17/2008 09:30:00 AM,059XX W SUPERIOR ST,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,false,false,1511,015,29,25,05,1136628,1904394,2008,02/04/2016 06:33:39 AM,41.893817529,-87.77366461,"(41.893817529, -87.77366461)"
6665602,HP738851,12/17/2008 11:00:00 AM,048XX N FRANCISCO AVE,0810,THEFT,OVER $500,STREET,false,false,2031,020,40,4,06,1156430,1931947,2008,02/04/2016 06:33:39 AM,41.969047515,-87.700190661,"(41.969047515, -87.700190661)"
6665603,HP738968,11/29/2008 10:00:00 AM,015XX N WICKER PARK AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,1424,014,1,24,06,1163035,1909891,2008,02/04/2016 06:33:39 AM,41.908388086,-87.676525544,"(41.908388086, -87.676525544)"
6665604,HP738996,12/17/2008 06:25:00 PM,046XX N SPRINGFIELD AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,false,false,1723,017,39,14,26,1149556,1930532,2008,02/04/2016 06:33:39 AM,41.96530127,-87.725503337,"(41.96530127, -87.725503337)"
6665605,HP739006,12/17/2008 02:00:00 PM,001XX S LA SALLE ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,0112,001,42,32,11,1175153,1899725,2008,02/04/2016 06:33:39 AM,41.88022879,-87.632315523,"(41.88022879, -87.632315523)"
6665606,HP738976,12/17/2008 10:00:00 AM,052XX W DEMING PL,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,false,false,2515,025,31,19,06,1141040,1916465,2008,02/04/2016 06:33:39 AM,41.926861593,-87.757162764,"(41.926861593, -87.757162764)"
6665607,HP739012,12/17/2008 08:00:00 AM,020XX W CORTLAND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE-GARAGE,false,false,1434,014,32,22,14,1162406,1912738,2008,02/04/2016 06:33:39 AM,41.91621365,-87.678756357,"(41.91621365, -87.678756357)"
6665608,HP738905,12/17/2008 05:30:00 PM,055XX W HARRISON ST,2027,NARCOTICS,POSS: CRACK,STREET,true,false,1522,015,29,25,18,1139559,1896771,2008,02/04/2016 06:33:39 AM,41.872846072,-87.763085894,"(41.872846072, -87.763085894)"
6665610,HP739023,12/17/2008 06:03:00 PM,007XX N LAMON AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,true,false,1531,015,37,25,18,1143550,1904635,2008,02/04/2016 06:33:39 AM,41.894352146,-87.748236032,"(41.894352146, -87.748236032)"
6665611,HP739050,12/17/2008 10:30:00 AM,007XX S LAFLIN ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,false,false,1213,012,25,28,11,1166502,1896739,2008,02/04/2016 06:33:39 AM,41.872224479,-87.664166333,"(41.872224479, -87.664166333)"
6665612,HP739105,12/17/2008 01:00:00 PM,071XX W ARCHER AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0811,008,23,56,06,1129491,1867228,2008,02/04/2016 06:33:39 AM,41.791952663,-87.800723443,"(41.791952663, -87.800723443)"
6665614,HP739038,12/17/2008 06:45:00 PM,027XX W LEXINGTON ST,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,true,false,1135,011,2,27,18,1158122,1896587,2008,02/04/2016 06:33:39 AM,41.871982525,-87.694937089,"(41.871982525, -87.694937089)"
6665615,HP738914,12/17/2008 05:10:00 PM,015XX N LAVERGNE AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2533,025,37,25,06,1142762,1909675,2008,02/04/2016 06:33:39 AM,41.908197188,-87.751004504,"(41.908197188, -87.751004504)"
6665616,HP738973,12/17/2008 06:00:00 PM,033XX W BRYN MAWR AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1712,017,40,13,06,1153135,1937017,2008,02/04/2016 06:33:39 AM,41.983026069,-87.712171206,"(41.983026069, -87.712171206)"
6665617,HP739018,12/15/2008 08:00:00 AM,047XX N SACRAMENTO AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1713,017,33,14,07,1155519,1931403,2008,02/04/2016 06:33:39 AM,41.967573172,-87.70355511,"(41.967573172, -87.70355511)"
6665618,HP739120,12/17/2008 05:45:00 PM,077XX S CLYDE AVE,0810,THEFT,OVER $500,STREET,false,false,0414,004,8,43,06,1191548,1853979,2008,02/04/2016 06:33:39 AM,41.754316047,-87.573601232,"(41.754316047, -87.573601232)"
6665619,HP738985,12/17/2008 07:45:00 AM,022XX N ELSTON AVE,0810,THEFT,OVER $500,STREET,false,false,1432,014,32,22,06,1164050,1914759,2008,02/04/2016 06:33:39 AM,41.921724813,-87.672659191,"(41.921724813, -87.672659191)"
6665620,HP738419,12/15/2008 11:45:00 PM,007XX N MENARD AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,1511,015,29,25,06,1137593,1904508,2008,02/04/2016 06:33:39 AM,41.894113031,-87.77011768,"(41.894113031, -87.77011768)"
6665622,HP739081,12/17/2008 06:00:00 PM,111XX S MICHIGAN AVE,0810,THEFT,OVER $500,STREET,false,false,0531,005,9,49,06,1178796,1830909,2008,02/04/2016 06:33:39 AM,41.691308512,-87.621032325,"(41.691308512, -87.621032325)"
6665623,HP739080,12/17/2008 07:14:00 PM,078XX S YATES BLVD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0421,004,7,43,18,1193560,1853402,2008,02/04/2016 06:33:39 AM,41.752683721,-87.566246885,"(41.752683721, -87.566246885)"
6665624,HP739102,12/17/2008 05:50:00 PM,087XX S STATE ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,0634,006,21,44,06,1177810,1847135,2008,02/04/2016 06:33:39 AM,41.735857166,-87.624152861,"(41.735857166, -87.624152861)"
